Investor ID;Name;Country of registration/origin;Classification;Investor homepage;Opencorporates link;Comment;Action comment
2;Government of Bangladesh;Bangladesh;Государственная компания;;;
11;China Asean Resources Ltd.;China, Hong Kong Special Administrative Region;Компания, имеющая листинг на фондовой бирже;;;
12;Agro Forestry Research;China;;;;
14;Amira Nature Foods Ltd (ANFIF);United Arab Emirates;Компания, имеющая листинг на фондовой бирже;https://www.amira.net/;;Amira Nature Foods Ltd is a food company primarily engaged in the distribution of basmati rice and related food products. Amira is a public company trading over the counter since it was removed from public listing on the New York Stock Exchange in August 2020.
18;Bigimexco;Vietnam;Частная компания;;;
19;BNA (Cam) Corp;Republic of Korea;Частная компания;;;"Origingal data entry: BNA (Cam) Corp / deleted possible LINE BREAK at the end of investor name.

Company Address: National Road No 6, Kean Khlaing Village, 12112 Phnom Penh, Cambodia "
20;Bon Bon World Investments and Consulting Group Ltd., New York;United States of America;Инвестиционный фонд;;;
25;Carmadeno Venture Limited;India;;;;
27;Central First Company;United States of America;;;;
28;China National Corporation for Overseas Economic Cooperation Laod Star Development;China;;;;
31;CIV Development Company;Vietnam;Частная компания;;;
35;Dau Tu Saigon-Binh Phouc (SBK);Cambodia;Частная компания;https://www.bongthom.com/company_detail/dau_tu_saigon_binh_phuoc_sbk_co_ltd_2227.html;https://opencorporates.com/companies/kh/00015438;Also known as Doty Saigon Binh Phouc (SBK) Co., Ltd
37;Fortuna Plantation (Cambodia) Limited;Malaysia;;;;
42;Global Tech Sdn.;Malaysia;Частная компания;;;
43;Gold Foison (Cambodia) A/C Import Export & Construction Co Ltd;Cambodia;Частная компания;;;There seems to be a Chinese or Vietnamese investor or parent company behind Gold Foison.
44;Golden Land Development Co., Ltd;Cambodia;Частная компания;;;Golden Land is a joint venture between a Taiwanese Company and the Government of Cambodia. It was registered with the Ministry of Commerce in 1994 and again in 1997. In 2004, Golden Land was granted a 4,900-hectare economic concession in Kompong Speu for agro-industrial crops and processing factory establishment.
46;Hanwha Group;Republic of Korea;Частная компания;https://www.hanwha.com/;;Hanwha is South Korea’s seventh-largest business group, with innovative businesses in the areas of energy, ocean, aerospace, finance, and retail & services.
62;Indochina Gateway Capital Limited;Australia;Инвестиционный фонд;;;
66;Kapa Ltd;Republic of Korea;Частная компания;;;
71;Kuwait China Investment Company (KCIC);Kuwait;Компания, имеющая листинг на фондовой бирже;;;
79;Men Sarun Co. Ltd.;Cambodia;Частная компания;;;
85;Oryung Construction;Republic of Korea;;;;
97;River Sugarcane;Thailand;;;;
