Involvement ID;Investor ID Downstream;Investor Name Downstream;Investor ID Upstream;Investor Name Upstream;Relation type;Investment type;Ownership share;Loan amount;Loan currency;Loan date;Comment
10;34793;Unknown (Agro Forestry Research);12;Agro Forestry Research;Материнская компания;;;;;;
11;34795;Amira Pure Foods Private Limited;14;Amira Nature Foods Ltd (ANFIF);Материнская компания;Доли капитала;100.0;;;;
13;34801;Unknown (Bon Bon World Investments and Consulting Group Ltd., New York);20;Bon Bon World Investments and Consulting Group Ltd., New York;Материнская компания;;;;;;
16;34806;Carmadeno Venture (Cambodia) Limited;25;Carmadeno Venture Limited;Материнская компания;;;;;;
17;34808;Central First Company Limited;27;Central First Company;Материнская компания;;;;;;
18;34809;Unknown (China National Corporation for Overseas Economic Cooperation Laod Star Development);28;China National Corporation for Overseas Economic Cooperation Laod Star Development;Материнская компания;;;;;;
20;34822;UNKNOWN (Global Tech Sdn., Men Sarun Co. Ltd., Rama Khmer International);79;Men Sarun Co. Ltd.;Материнская компания;;;;;;
21;34822;UNKNOWN (Global Tech Sdn., Men Sarun Co. Ltd., Rama Khmer International);2371;Rama Khmer International;Материнская компания;;;;;;
22;34822;UNKNOWN (Global Tech Sdn., Men Sarun Co. Ltd., Rama Khmer International);42;Global Tech Sdn.;Материнская компания;;;;;;
25;34812;CIV Development Agro Industry Company;31;CIV Development Company;Материнская компания;Доли капитала;;;;;
26;34842;Unknown (Kapa Ltd);66;Kapa Ltd;Материнская компания;;;;;;
27;34858;Mong Reththy Investment Cassava Cambodia Co., Ltd;2319;Mong Reththy;Материнская компания;;;;;;
28;34847;Unknown (Kuwait China Investment Company (KCIC));71;Kuwait China Investment Company (KCIC);Материнская компания;;;;;;
29;34850;Leopard Capital Cambodia;2291;Leopard Capital;Материнская компания;;;;;;
30;34854;Men Sarun Import Export;79;Men Sarun Co. Ltd.;Материнская компания;;;;;;
36;34885;(Cambodia) Tong Min Group Engineering Co., Ltd.;11;China Asean Resources Ltd.;Материнская компания;;;;;;
39;34907;Yunnan Shenyu New Energy Co. Ltd.;2915;China Sandi Holdings Limited;Материнская компания;;;;;;
41;34911;Shandong Asahi Green Source High-Tech Farm Co., Ltd.;138;Asahi Breweries Ltd;Материнская компания;;;;;;
42;34911;Shandong Asahi Green Source High-Tech Farm Co., Ltd.;140;Sumitomo Chemical Company Ltd.;Материнская компания;;;;;;
43;34911;Shandong Asahi Green Source High-Tech Farm Co., Ltd.;139;Itochu Corporation;Материнская компания;;;;;;
44;34912;Green Future Innovations Inc. (GFII);2549;JGC Holdings Corporation;Материнская компания;Доли капитала;;;;;
45;34912;Green Future Innovations Inc. (GFII);2550;Philippine Bioethanol and Energy Investments Corporation;Материнская компания;Доли капитала;;;;;
46;34912;Green Future Innovations Inc. (GFII);139;Itochu Corporation;Материнская компания;Доли капитала;;;;;
47;34912;Green Future Innovations Inc. (GFII);424;GCO;Материнская компания;Доли капитала;;;;;
78;34925;Unknown (Chaoda Modern Agriculture);157;Chaoda Modern Agriculture (Holdings) Limited;Материнская компания;;;;;;
80;34928;Unknown (China Huiyuan Juice Groups);160;China Huiyuan Juice Group Ltd;Материнская компания;;;;;;
83;34935;Unknown (PT Puri Usaha Kencana, Sinopec);2620;PT Puri Usaha Kencana;Материнская компания;;;;;;
84;34935;Unknown (PT Puri Usaha Kencana, Sinopec);167;Sinopec;Материнская компания;;;;;;
85;34936;Unknown (Bolloré Group, Mellori Group);169;Mellori Group;Материнская компания;;;;;;
86;34936;Unknown (Bolloré Group, Mellori Group);168;Bolloré Group;Материнская компания;;;;;;
89;34945;Unknown (Harim Group);1923;Harim Holdings Co Ltd;Материнская компания;;;;;;
90;34946;UNKNOWN (NONGHYUP FEED INC, DAEWOO LOGISTICS);182;Nonghyup Feed Inc.;Материнская компания;;;;;;
91;34946;UNKNOWN (NONGHYUP FEED INC, DAEWOO LOGISTICS);1669;Daewoo Logistics;Материнская компания;;;;;;
103;34957;Unknown (Sime Darby);201;Sime Darby;Материнская компания;;;;;;
112;34966;PT. Henrison Inti Persada (IDN);211;Noble Resources Trading Holdings Limited (Noble Group);Материнская компания;;95.0;;;;
113;34976;Unknown (Dexion Capital);222;Dexion Capital;Материнская компания;;;;;;
114;34978;Unknown (Saudi Company for Agricultural Investment and Animal Production);224;Saudi Company for Agricultural Investment and Animal Production;Материнская компания;;;;;;
115;34982;Unknown (Noor company);228;Noor company;Материнская компания;;;;;;
116;34983;Unknown (I K Company);229;I K Company;Материнская компания;;;;;;
118;34985;Unknown (Hawkar);231;Hawkar;Материнская компания;;;;;;
119;34986;Unknown (Shiwa Company);232;Shiwa Company;Материнская компания;;;;;;
120;34987;Phu Bia Mining Limited (PBM);2019;PanAust Limited;Материнская компания;Доли капитала;90.0;;;;Phu Bia Mining Limited is a 90% owned subsidiary of the Australian-based company PanAust Limited. PanAust Limited is subsequently a subsidiary of the Chinese state-owned enterprise Guangdong Rising Holding Group (GRHG). The remaining 10% is held by the Government of Laos.
122;34989;Unknown (Agarwood Lao Group Co. Ltd.);235;Lao Agar International Development Co. Ltd. (L.A.I.D);Материнская компания;;;;;;
124;34993;Unknown (Cherchanghang Co);239;Cherchanghang Co;Материнская компания;;;;;;
125;34995;Unknown (Crapkin Agriculture Co Ltd);242;Crapkin Agriculture Co Ltd;Материнская компания;;;;;;
128;34997;Unknown (Dao Lao Co);2047;LAO GEO CONSULTANT Co., Ltd.;Материнская компания;;30.0;;;;
129;34997;Unknown (Dao Lao Co);2046;ONIX Ltd;Материнская компания;;60.0;;;;
130;34997;Unknown (Dao Lao Co);2048;MK-GROUP Co., Ltd.;Материнская компания;;10.0;;;;
131;34999;Unknown (Municipal Government of Chongqing, Government of Laos);2051;Government of Laos;Материнская компания;;;;;;
132;34999;Unknown (Municipal Government of Chongqing, Government of Laos);2050;Municipal Government of Chongqing;Материнская компания;;;;;;
133;35000;Unknown (GO Crapkin Co Ltd);247;GO Crapkin Co Ltd;Материнская компания;;;;;;
166;35003;Unknown (Heurnmao Rubber Co);252;Heurnmao Rubber Co. Ltd.;Материнская компания;;;;;;
169;35005;Unknown (Industrial and Agricultural Development for Import-Export);254;Industrial and Agricultural Development for Import-Export;Материнская компания;;;;;;
