kpi_enum,agg_date_left_bound,territory,territory_code,null_value_cnt,not_null_value_cnt,total_cnt,min_value,max_value,median_value,avg_value,sum_area,avg_cost_per_one_ha,month,year
avg_cost_per_one_ha,01/01/2021 00:00:00,Україна,UA00000000000000000,49770,9858,59628,,4739261947.973382,214162.857142857,214162.857142857,9461.12739923,214162.857142857,7,2021
avg_cost_per_one_ha,01/01/2021 00:00:00,Україна,UA00000000000000000,45147,9043,54190,,479868827.30093074,310917.721518987,310917.721518987,9019.67384623,310917.721518987,8,2021
avg_cost_per_one_ha,01/01/2021 00:00:00,Україна,UA00000000000000000,50702,9887,60589,,2267000000,288300,288300,10149.80472432,288300,9,2021
avg_cost_per_one_ha,01/01/2021 00:00:00,Україна,UA00000000000000000,46721,8806,55527,,703125000,300000,300000,9524.8675619879,300000,10,2021
avg_cost_per_one_ha,01/01/2021 00:00:00,Україна,UA00000000000000000,56826,9513,66339,,12018348623.85321,260319.042871386,260319.042871386,10939.977210822,260319.042871386,11,2021
avg_cost_per_one_ha,01/01/2021 00:00:00,Україна,UA00000000000000000,59637,10655,70292,,55741666666.666664,347421.052631579,347421.052631579,11978.13388298,347421.052631579,12,2021
avg_cost_per_one_ha,01/01/2021 00:00:00,Україна,UA00000000000000000,40697,4835,45532,,11685976627.712854,367647.058823529,367647.058823529,7859.67319899,367647.058823529,1,2022
avg_cost_per_one_ha,01/01/2021 00:00:00,Україна,UA00000000000000000,40287,4838,45125,,741083835.1088467,377498.167729463,377498.167729463,9121.56154954,377498.167729463,2,2022
avg_cost_per_one_ha,01/01/2021 00:00:00,Україна,UA00000000000000000,4282,463,4745,,36090000,200000,200000,721.53559,200000,5,2022
avg_cost_per_one_ha,01/01/2021 00:00:00,Україна,UA00000000000000000,19859,2286,22145,,25263157894.736843,307517.943409248,307517.943409248,3487.90224868,307517.943409248,6,2022
avg_cost_per_one_ha,01/01/2021 00:00:00,Україна,UA00000000000000000,22282,2425,24707,,14890364936.440678,187500,187500,3837.0635632561,187500,7,2022
avg_cost_per_one_ha,01/01/2021 00:00:00,Україна,UA00000000000000000,24110,2635,26745,,121306110,212644.64,212644.64,4794.5368432,212644.64,8,2022
